Date,Open,High,Low,Close,Adj Close,Volume
2002-03-25,101.147224,101.969406,98.948372,99.005737,56.342384,6566683
2002-03-26,99.015297,101.051628,97.801147,98.374763,55.983330,8518624
2002-03-27,99.187378,99.225624,97.992355,98.843208,56.249931,5860110
2002-03-28,98.996178,100.516251,98.843208,99.426384,56.581806,5593485
2002-04-01,99.426384,99.426384,97.896751,98.336517,55.961582,5844002
2002-04-02,97.514343,97.523903,96.089867,96.510513,54.922436,7721781
2002-04-03,96.940727,97.036331,94.550667,95.564056,54.383823,8000959
2002-04-04,95.564056,96.692162,95.124283,96.405357,54.862583,6201211
2002-04-05,96.405357,96.797325,92.973228,92.973228,52.909416,10252683
2002-04-08,83.652008,84.694077,81.596558,83.565964,47.555897,43102836
2002-04-09,84.608032,84.627151,83.269600,83.881454,47.735435,18183246
2002-04-10,84.560226,85.994263,84.321220,85.095604,48.426407,13748519
2002-04-11,84.177818,84.617592,79.674950,80.487572,45.804050,24417510
2002-04-12,83.709366,84.091782,80.688339,81.835564,46.571163,16546988
2002-04-15,82.695984,82.791588,80.975143,81.596558,46.435169,9279694
2002-04-16,82.552582,83.030594,81.816444,82.409180,46.897610,8298023
2002-04-17,83.221794,83.365204,80.305923,81.080307,46.141384,11526397
2002-04-18,83.145317,85.181641,83.078392,85.038239,48.393734,15442621
2002-04-19,85.946465,86.070747,83.747612,85.086044,48.420963,9699767
2002-04-22,85.038239,85.038239,83.518166,84.063095,47.838821,7068554
2002-04-23,84.464630,85.162521,83.403442,83.489487,47.512398,5380729
2002-04-24,84.321220,84.369026,82.476097,82.695984,47.060802,6820443
2002-04-25,82.265778,83.097511,81.998085,82.896751,47.175068,7186020
2002-04-26,82.887192,83.135757,80.975143,80.984703,46.086964,6991673
2002-04-29,80.984703,81.357552,79.875717,80.200768,45.640820,6836238
2002-04-30,80.219887,81.481834,79.856598,80.076485,45.570126,9292559
2002-05-01,80.162521,80.927345,78.078392,80.592735,45.863911,12765175
2002-05-02,80.066925,81.070747,79.474190,80.172081,45.624531,6885713
2002-05-03,79.445503,79.827919,77.543022,78.183556,44.492859,9054490
2002-05-06,78.107079,78.269600,72.657745,72.657745,41.348232,14276226
2002-05-07,73.508606,74.091782,72.581261,73.135757,41.620277,18219960
2002-05-08,74.760994,79.158699,74.760994,78.824089,44.945526,13367566
2002-05-09,78.298279,79.349907,75.525810,76.414917,43.571793,10596085
2002-05-10,76.434036,76.959846,75.764816,76.175911,43.435551,7726070
2002-05-13,76.720840,78.671127,76.003822,78.575523,44.803806,6827870
2002-05-14,80.783936,81.720840,78.575523,81.720840,46.597256,10067436
